iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypothesis
78,73.20871342889832,209.62427428386155,20.0,1.0,2.98,Global
79,40.800045,175.34647688988525,5.7199905,1.26000025,2.1,Maximized Mid-range Solar Setup
80,40.800045,193.0831776881346,5.7199905,1.26000025,2.07,Maximized Mid-range Solar Setup
81,61.08664735999452,212.547499985008,20.0,1.0,2.96,Global
82,65.92217334382431,146.9388847651367,20.0,1.0,2.96,Global
83,0.0,60.70458558095119,1.0,1.5,0.95,Global
84,69.04681527982558,179.39774513149533,20.0,1.0,3.38,Global
85,81.85647890013827,184.15613226339914,20.0,1.0,3.27,Global
86,64.81960361234059,210.19948122174574,6.795189110590725,1.0,2.17,Global
87,0.0,115.67034025991158,20.0,1.0,1.57,Global
88,0.0,172.06442157876782,1.0,1.0,0.95,Global
89,55.889518801034065,172.84602094265125,20.0,1.0,3.33,Global
90,34.63059048562998,185.17852673301095,10.2800095,1.1399997499999999,2.29,Maximized Mid-range Solar Setup
91,40.800045,182.99684737622084,10.2800095,1.1399997499999999,2.4,Maximized Mid-range Solar Setup
92,46.213702321003204,151.68105474662454,20.0,1.0,2.99,Global
93,36.27947832411979,140.47802986359667,20.0,1.0,2.64,Global
94,50.64393070750407,183.4158784992043,20.0,1.0,3.28,Global
95,66.73256766646746,167.33501628733688,1.0,1.0,2.02,Global
96,73.7783661547106,162.1360076049065,20.0,1.0,3.23,Global
97,40.800045,136.79982,10.2800095,1.26000025,1.97,Maximized Mid-range Solar Setup
98,19.199955000000003,182.99670733547686,10.2800095,1.1399997499999999,1.91,Maximized Mid-range Solar Setup
99,58.092123015211506,182.9602479198201,20.0,1.0,3.35,Global
100,0.0,330.75377233369926,20.0,1.0,1.57,Global
101,47.08285779036582,165.11530298443557,20.0,1.0,3.17,Global
102,66.76622910456972,174.2702821928918,20.0,1.0,3.37,Global
103,55.266492712550935,179.26918746840764,20.0,1.0,3.34,Global
104,19.199955000000003,136.79982,5.7199905,1.1399997499999999,1.52,Maximized Mid-range Solar Setup
105,40.800045,157.61311259840085,10.2800095,1.1399997499999999,2.3,Maximized Mid-range Solar Setup
