iteration,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target,constraint,allowed,hypotheses
76,0.0,0.0,0.0,0.0,4.0,3.2,0.0,0.0,0.0,0.0,0.24,4.0,True,None
77,0.5,1.25,0.0,1.0,0.0,4.800000000000001,0.0,0.0,0.0,0.0,0.64,2.75,True,None
78,2.5,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,5.0,True,None
79,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,4.0,True,None
80,0.0,0.0,0.0,2.0,0.0,2.4000000000000004,2.5,0.0,0.0,0.0,0.02,4.5,True,None
81,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.39,3.0,True,High P10-MIX1 with Enhanced NaCl and NaOH
82,0.0,1.0,0.0,1.0,0.75,4.0,0.0,0.0,0.0,0.0,20.43,2.75,True,Balanced Mixture with High P10-MIX1 and L-Cysteine
83,0.0,0.0,0.0,2.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5.0,True,None
84,2.25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,0.0,4.75,True,None
85,0.0,0.0,0.0,0.0,0.0,5.0,1.5,2.25,0.0,0.0,0.0,3.75,True,None
86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.5,0.0,4.5,True,None
87,0.0,0.0,0.0,0.0,2.5,1.0,0.0,2.25,0.0,0.0,0.0,4.75,True,None
88,2.0,0.0,2.25,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,4.25,True,None
89,0.0,0.0,0.0,0.0,0.0,1.0,3.75,0.0,0.0,0.0,0.26,3.75,True,None
90,0.0,0.0,0.0,1.5,0.75,4.0,0.0,0.0,0.0,0.5,6.13,2.75,True,Maximized P10-MIX1 with Optimal NaCl and NaOH
91,0.0,1.0,0.0,1.0,0.75,4.0,0.0,0.0,0.0,0.5,27.41,3.25,True,Balanced Mixture with High P10-MIX1 and Minimal Dyes
92,0.0,1.0,0.0,1.0,0.75,3.8000000000000003,0.0,0.0,0.0,0.5,27.3,3.2500000000000004,True,None
93,0.0,0.0,0.0,0.0,0.0,5.0,2.25,0.0,0.0,2.5,0.02,4.75,True,None
94,0.0,2.5,0.0,0.0,0.0,1.4,0.0,0.0,2.25,0.0,0.0,4.75,True,None
95,0.0,0.0,2.25,0.0,0.0,5.0,2.25,0.0,0.0,0.0,0.0,4.5,True,None
96,0.0,1.5,0.0,1.5,0.75,4.0,0.0,0.0,0.0,0.0,20.25,3.75,True,High P10-MIX1 with Enhanced L-Cysteine
97,0.0,1.0,0.0,1.0,1.5,4.0,0.0,0.0,0.5,0.0,2.87,4.0,True,Exploring Surfactant Effects with High P10-MIX1 and L-Cysteine
98,0.0,0.0,0.0,4.25,0.0,5.0,0.0,0.0,0.0,0.0,1.24,4.25,True,None
99,0.0,0.0,0.0,2.5,0.0,1.0,0.0,0.0,2.25,0.0,0.05,4.75,True,None
100,0.0,0.0,0.0,0.0,0.0,3.2,2.0,0.0,2.5,0.0,0.0,4.5,True,None
101,0.0,0.0,0.0,0.0,2.5,5.0,2.0,0.0,0.0,0.0,0.0,4.5,True,None
102,0.0,0.0,3.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.75,True,None
103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,2.5,0.0,0.0,5.0,True,None
104,0.0,0.75,0.0,1.25,0.25,4.800000000000001,1.25,0.0,0.0,0.75,4.28,4.25,True,None
105,0.0,0.0,2.5,0.0,0.0,1.0,0.0,2.25,0.0,0.0,0.0,4.75,True,None
