iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
44,0.0,180.18892776336747,1.0,1.0,0.95,None
45,90.0,112.12561224603714,1.0,1.0,1.02,None
46,35.17616606855038,234.31126818461118,1.0,1.0,1.42,None
47,35.17831383813734,150.86328127031362,20.0,1.0,2.8,None
48,57.40779085469435,189.38725596167444,20.0,1.0,3.32,None
49,0.0,308.58555154816486,20.0,1.5,1.35,None
50,65.94507805612055,174.80349155962446,19.923192923444095,1.0828840035030094,3.26,None
51,28.16,126.01,1.62,1.07,1.39,Exploring Lower Tilt with Moderate Capacity
52,30.14,129.57,2.79,1.31,1.47,Testing Slightly Higher Tilt with Increased Capacity
53,90.0,235.05986248497032,1.0,1.0,1.23,None
54,42.88629658853942,360.0,1.0,1.0,0.0,None
55,69.43628463792012,185.4211629089972,19.937717703527277,1.0979120932604989,3.23,None
56,56.15244832524593,204.42899616563722,19.17119708008717,1.1382902147787384,2.91,None
57,0.0,31.549922907183728,20.0,1.5,1.35,None
58,43.83655496825289,159.9947309491521,19.97946287550962,1.060840174361454,3.0,None
59,58.141699069826,181.88270448445982,19.57873347131973,1.046707115081587,3.26,None
60,44.22385890620856,184.4866529539024,19.88007691915508,1.1943658328106521,2.96,None
61,29.141712669471058,212.45513103804632,19.905689532317925,1.0244298917056267,2.57,None
62,90.0,46.68845536336516,1.0,1.0,0.05,None
63,88.5,181.0,20.0,1.0,3.18,Refined High Tilt and Optimal Azimuth
64,87.5,182.5,20.0,1.0,3.2,Exploring Slightly Higher Tilt
65,89.5,181.5,20.0,1.0,3.16,Testing Maximum Capacity with High Tilt
66,76.5,179.0,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
67,30.5,130.5,3.5,1.1,1.53,Exploring Lower Tilt with Moderate Capacity
68,4.0559011305191905,109.52705359949871,18.662501199762243,1.3844601066891544,1.41,None
69,90.0,314.491054845105,1.0,1.0,0.04,None
70,39.84928074788438,256.41863817456976,20.0,1.0,1.83,None
71,23.643489784855106,165.13985203328764,19.567515048213544,1.245826539358853,2.38,None
72,0.0,279.98931470783646,1.0,1.5,0.95,None
73,49.389953541270756,123.89397159722215,20.0,1.0,2.39,None
74,88.73293930219458,196.89554821433794,19.322670798100948,1.238452313319064,2.75,None
75,67.00270002523385,179.96855829696077,19.93775188739306,1.1781824866307273,3.16,None
76,65.0465446436044,164.72040262098835,19.35804294675541,1.21044380615489,3.02,None
77,88.7,181.2,20.0,1.0,3.18,Refined High Tilt and Optimal Azimuth
78,87.8,182.3,20.0,1.0,3.19,Exploring Slightly Higher Tilt
79,89.2,181.8,20.0,1.0,3.17,Testing Maximum Capacity with High Tilt
80,76.8,179.5,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
81,31.0,131.0,3.8,1.1,1.56,Exploring Lower Tilt with Moderate Capacity
82,61.750269634636126,185.61686613065382,19.333581043875146,1.0533124307604518,3.24,None
83,37.126267884249614,166.1324002359721,2.045964221788388,1.1676230306124695,1.86,None
84,38.370148684469434,203.27280712036108,2.5574977734238344,1.3876998471030682,1.81,None
85,67.48454202098434,220.22366253239818,20.0,1.0,2.76,None
86,72.67189807604284,130.14690333240853,20.0,1.0,2.46,None
87,52.25311738708483,193.54987943974822,20.0,1.0,3.24,None
88,75.83672457546176,170.22187070261924,19.934949830667374,1.0143437451920678,3.28,None
89,0.0,229.76377229689436,1.0,1.0,0.95,None
90,88.9,181.5,20.0,1.0,3.17,Refined High Tilt and Optimal Azimuth
91,87.5,182.0,20.0,1.0,3.2,Exploring Slightly Higher Tilt
92,89.0,181.0,20.0,1.0,3.17,Testing Maximum Capacity with High Tilt
93,77.0,179.0,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
94,31.5,132.0,3.8,1.1,1.57,Exploring Lower Tilt with Moderate Capacity
95,90.0,151.16229807246077,1.0,1.0,1.69,None
96,26.593346064392346,192.6564216045177,20.0,1.0,2.72,None
97,89.67780851375099,161.48660741448953,19.737010276983632,1.0901390009421055,2.89,None
98,38.034266504701606,44.62217490707603,20.0,1.0,0.32,None
99,69.83297541189611,216.685364730494,1.2127326060545025,1.401665542831715,1.72,None
100,40.804844824386585,207.83735301846593,19.62242388907725,1.009825720233327,2.87,None
101,59.93099778844343,262.63832653719754,1.0,1.5,0.95,None
102,88.2,181.8,20.0,1.0,3.18,Refined High Tilt and Optimal Azimuth
103,87.0,182.5,20.0,1.0,3.2,Exploring Slightly Higher Tilt
104,89.5,181.2,20.0,1.0,3.16,Testing Maximum Capacity with High Tilt
105,76.5,178.5,15.0,1.2,2.81,Moderate Tilt for Balanced Performance
