iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypotheses
84,72.0,185.0,20.0,1.0,3.36,Moderate Tilt with High Capacity
85,80.0,186.0,20.0,1.0,3.29,Exploring Slightly Higher Tilt
86,70.0,92.0,20.0,1.0,1.31,Discarding East-West Orientation
87,75.0,187.0,20.0,1.0,3.33,Exploring New Azimuths
88,37.92308278776942,300.42963894840466,1.0,1.5,0.41,None
89,89.74391657140467,52.79402501337687,2.8518825449882104,1.3973210923636215,0.11,None
90,0.0,54.43861764355094,1.0,1.0,0.95,None
91,90.0,229.7936915294639,1.0,1.0,1.32,None
92,89.40924105491614,130.49049761674013,2.7218251504837654,1.1111228138695517,1.4,None
93,44.77326247803259,128.5691681685056,1.0,1.0,1.51,None
94,0.0,305.7505153235126,20.0,1.0,1.57,None
95,78.0,178.0,20.0,1.0,3.33,Higher Tilt Exploration
96,72.0,181.0,20.0,1.0,3.37,Moderate Tilt with High Capacity
97,80.0,184.0,20.0,1.0,3.3,Exploring Slightly Higher Tilt
98,75.0,188.0,20.0,1.0,3.32,Exploring New Azimuths
99,43.54661100813935,0.0,1.0,1.5,0.0,None
100,66.61549421354943,330.18470697502767,20.0,1.0,0.0,None
101,36.21936815665583,230.27608358897356,20.0,1.0,2.43,None
102,1.990561070708301,93.64069510360282,19.672707867734438,1.0824808152365897,1.51,None
103,37.88188267220811,218.76857530776604,2.3578034120345683,1.3507414300849243,1.65,None
104,48.75869160991123,360.0,1.0,1.0,0.0,None
105,70.0,179.0,20.0,1.0,3.38,Optimal Tilt and Azimuth
